id;Country;indexreg;pop_2021;sdg1_wpc;sdg1_320pov;sdg1_oecdpov
BRN;Brunei Darussalam;East & South Asia;441,532;;;
KHM;Cambodia;East & South Asia;16,946,446;1.51;26.24;
IDN;Indonesia;East & South Asia;276,361,788;1.82;19;
LAO;Lao PDR;East & South Asia;7,379,358;10.6;36.57;
MYS;Malaysia;East & South Asia;32,776,195;0;0.02;
MMR;Myanmar;East & South Asia;54,806,014;1.72;19.34;
PHL;Philippines;East & South Asia;111,046,910;4.49;25.25;
SGP;Singapore;East & South Asia;5,896,684;0.84;0.99;
THA;Thailand;East & South Asia;69,950,844;0;0.01;
TLS;Timor-Leste;East & South Asia;1,343,875;26.61;67.58;
VNM;Vietnam;East & South Asia;98,168,829;0.77;3.96;
